Epoch,MaxActionDiff,MinActionDiff,MeanActionDiff,StdActionDiff,MeanReWeightingFactor,StdReWeightingFactor,MeanMinusStd,MeanPlusStd,Loss
0,2210460.2,228.125,299915.78,168996.67,nan,nan,130919.11,468912.44,299917.88
500,767.20215,1.2578125,3576.9717,271.5349,nan,nan,3305.4368,3848.5066,3576.99
1000,167.54913,0.24908447,-595.43243,63.601997,nan,nan,-659.0344,-531.83044,-595.4372
1500,87.53711,0.026855469,-1278.7097,28.49828,1,15.99997,-1307.208,-1250.2114,-1278.7076
2000,68.37085,0.17553711,-1426.991,21.598984,1,15.592285,-1448.59,-1405.392,-1426.9893
2500,66.39905,0.047729492,-1497.2865,18.810913,0.99999994,15.993827,-1516.0974,-1478.4756,-1497.2847
3000,46.354126,0.04284668,-1539.034,14.493311,1,15.640333,-1553.5273,-1524.5408,-1539.0305
3500,44.667725,0.042236328,-1566.4636,14.689493,1,11.763913,-1581.1531,-1551.7742,-1566.4606
4000,37.749756,0.08325195,-1587.5068,13.390228,1,14.429787,-1600.8971,-1574.1166,-1587.5051
4500,36.9187,0.012939453,-1603.9873,11.660362,1.0000001,11.814384,-1615.6477,-1592.3269,-1603.9849
5000,29.94458,0.064941406,-1619.0327,10.061035,0.99999994,15.434006,-1629.0938,-1608.9717,-1619.0281
5500,32.090454,0.0018310547,-1629.2448,9.828444,1,15.8942995,-1639.0732,-1619.4163,-1629.2434
6000,30.286377,0.00024414062,-1638.5503,8.409345,0.99999994,8.204668,-1646.9596,-1630.141,-1638.5469
6500,22.83789,0.0021972656,-1644.4819,8.175388,1,13.155405,-1652.6573,-1636.3065,-1644.4712
7000,21.60437,0.017211914,-1649.8702,7.6243825,1,14.483429,-1657.4946,-1642.2458,-1649.8563
7500,20.939331,0.0015869141,-1654.2743,6.8292737,1.0000001,15.433316,-1661.1035,-1647.4451,-1654.2638
8000,21.614014,0.0034179688,-1658.1306,6.68343,0.9999999,12.938834,-1664.8141,-1651.4471,-1658.1229
8500,22.698608,0.044311523,-1661.1642,6.8513803,0.99999994,15.577749,-1668.0156,-1654.3127,-1661.1611
9000,17.890503,0.00012207031,-1663.5702,5.546733,1,14.852793,-1669.117,-1658.0234,-1663.5599
9500,18.569214,0.023803711,-1665.9115,5.9305487,0.99999994,11.605557,-1671.842,-1659.981,-1665.8918
10000,17.188232,0.049316406,-1666.8203,5.8248587,1.0000001,9.908441,-1672.6451,-1660.9955,-1666.7949
10500,16.460693,0.013916016,-1668.9656,5.096039,0.9999999,9.453357,-1674.0616,-1663.8695,-1668.9388
11000,15.128296,0.009399414,-1670.4137,4.9300523,1.0000001,11.0276,-1675.3438,-1665.4836,-1670.3853
11500,13.362671,0.029418945,-1671.327,4.927629,0.99999994,8.370364,-1676.2546,-1666.3994,-1671.3031
12000,12.886108,0.0030517578,-1672.36,4.491318,1,10.195074,-1676.8513,-1667.8687,-1672.3062
12500,13.276855,0.0009765625,-1673.8867,4.3571343,0.9999998,10.646355,-1678.2439,-1669.5295,-1673.8333
13000,14.307373,0.056640625,-1674.5146,4.491759,0.99999994,6.972863,-1679.0063,-1670.023,-1674.4395
13500,13.048096,0.022216797,-1675.4768,3.8150375,1.0000001,14.745082,-1679.2919,-1671.6617,-1675.4238
14000,12.394775,0.052734375,-1675.8718,3.983956,1,6.264159,-1679.8558,-1671.8878,-1675.7744
14500,14.321899,0.008178711,-1676.9237,3.8354328,1,11.810453,-1680.7592,-1673.0883,-1676.8251
